timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,ALL
1610150400,A,8,21,118,204,124,111,586
1610150400,F,4,14,66,114,60,74,332
1610150400,M,4,7,52,90,64,37,254
1610236800,A,2,10,75,119,77,40,323
1610236800,F,1,5,46,72,41,27,192
1610236800,M,1,5,29,47,36,13,131
1610323200,A,7,17,175,297,178,146,820
1610323200,F,2,9,84,167,96,92,450
1610323200,M,5,8,91,130,82,54,370
1610409600,A,20,39,252,492,228,137,1168
1610409600,F,14,22,135,286,120,90,667
1610409600,M,6,17,117,206,108,47,501
1610496000,A,12,41,268,486,222,182,1211
1610496000,F,9,25,147,275,118,137,711
1610496000,M,3,16,121,211,104,45,500
1610582400,A,14,27,210,370,211,151,983
1610582400,F,4,16,122,200,111,98,551
1610582400,M,10,11,88,170,100,53,432
1610668800,A,12,28,183,345,178,170,916
1610668800,F,7,13,95,199,87,121,522
1610668800,M,5,15,87,146,91,49,393
1610755200,A,15,24,119,269,125,96,648
1610755200,F,9,11,71,162,68,60,381
1610755200,M,6,13,48,107,57,36,267
1610841600,A,3,7,39,98,60,61,268
1610841600,F,2,3,28,59,39,42,173
1610841600,M,1,4,11,39,21,19,95
1610928000,A,12,22,73,173,100,95,475
1610928000,F,3,10,39,110,58,69,289
1610928000,M,9,12,34,63,42,26,186
1611014400,A,12,16,178,358,185,144,893
1611014400,F,6,5,95,200,94,103,503
1611014400,M,6,11,83,158,91,41,390
1611100800,A,11,26,183,382,191,115,908
1611100800,F,8,12,101,232,111,81,545
1611100800,M,3,14,82,150,80,34,363
1611187200,A,20,27,109,310,150,148,764
1611187200,F,12,14,68,171,79,104,448
1611187200,M,8,13,41,139,71,44,316
1611273600,A,5,30,132,264,132,107,670
1611273600,F,3,17,72,149,71,76,388
1611273600,M,2,13,60,115,61,31,282
1611360000,A,15,15,102,178,98,80,488
1611360000,F,7,9,54,105,56,55,286
1611360000,M,8,6,48,73,42,25,202
1611446400,A,2,3,39,97,51,34,226
1611446400,F,1,1,19,54,27,24,126
1611446400,M,1,2,20,43,24,10,100
1611532800,A,2,9,69,116,60,63,319
1611532800,F,1,5,40,65,34,31,176
1611532800,M,1,4,29,51,26,32,143
1611619200,A,13,16,131,315,130,100,705
1611619200,F,3,8,69,183,70,65,398
1611619200,M,10,8,62,132,60,35,307
1611705600,A,11,17,134,299,134,113,708
1611705600,F,3,8,66,163,71,72,383
1611705600,M,8,9,68,136,63,41,325
1611792000,A,12,40,118,281,133,94,678
1611792000,F,8,19,58,164,69,69,387
1611792000,M,4,21,60,117,64,25,291
1611878400,A,5,17,109,211,99,78,519
1611878400,F,1,8,55,116,56,52,288
1611878400,M,4,9,54,95,43,26,231
1611964800,A,3,13,84,162,76,42,380
1611964800,F,2,9,40,84,37,30,202
1611964800,M,1,4,44,78,39,12,178
1612051200,A,5,7,32,54,38,20,156
1612051200,F,3,4,20,26,18,12,83
1612051200,M,2,3,12,28,20,8,73
1612137600,A,3,14,51,103,62,58,291
1612137600,F,2,6,27,60,31,33,159
1612137600,M,1,8,24,43,31,25,132
1612224000,A,11,19,111,288,129,64,622
1612224000,F,3,13,71,158,62,38,345
1612224000,M,8,6,40,130,67,26,277
1612310400,A,10,30,122,294,147,78,681
1612310400,F,6,14,58,166,70,51,365
1612310400,M,4,16,64,128,77,27,316
1612396800,A,12,16,144,215,114,71,572
1612396800,F,6,10,77,124,52,43,312
1612396800,M,6,6,67,91,62,28,260
1612483200,A,11,23,74,189,120,66,483
1612483200,F,4,12,29,111,58,33,247
1612483200,M,7,11,45,78,62,33,236
1612569600,A,4,21,58,120,66,43,312
1612569600,F,2,12,30,63,28,26,161
1612569600,M,2,9,28,57,38,17,151
1612656000,A,4,4,25,35,22,11,101
1612656000,F,2,1,9,17,13,8,50
1612656000,M,2,3,16,18,9,3,51
1612742400,A,5,7,46,100,50,32,240
1612742400,F,1,2,25,50,22,21,121
1612742400,M,4,5,21,50,28,11,119
1612828800,A,1,8,52,109,56,44,270
1612828800,F,1,4,32,61,27,29,154
1612828800,M,0,4,20,48,29,15,116
1612915200,A,1,18,61,139,77,37,333
1612915200,F,0,11,32,75,41,23,182
1612915200,M,1,7,29,64,36,14,151
1613001600,A,7,22,135,219,92,63,538
1613001600,F,3,13,72,109,47,40,284
1613001600,M,4,9,63,110,44,23,253
1613088000,A,8,17,93,180,73,56,427
1613088000,F,6,7,51,94,26,40,224
1613088000,M,2,10,42,86,47,16,203
1613174400,A,5,12,59,105,60,38,279
