Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1586908800,00+,66,3.11,9.43
1586908800,00-04,0,0.00,0.00
1586908800,05-14,0,0.00,0.00
1586908800,15-34,0,0.00,0.00
1586908800,35-59,7,0.97,1.00
1586908800,60-79,31,5.54,4.43
1586908800,80+,28,15.63,4.00
1586995200,00+,66,3.11,9.43
1586995200,00-04,0,0.00,0.00
1586995200,05-14,0,0.00,0.00
1586995200,15-34,0,0.00,0.00
1586995200,35-59,8,1.11,1.14
1586995200,60-79,32,5.72,4.57
1586995200,80+,26,14.51,3.71
1587081600,00+,66,3.11,9.43
1587081600,00-04,0,0.00,0.00
1587081600,05-14,0,0.00,0.00
1587081600,15-34,1,0.26,0.14
1587081600,35-59,6,0.83,0.86
1587081600,60-79,32,5.72,4.57
1587081600,80+,27,15.07,3.86
1587168000,00+,64,3.02,9.14
1587168000,00-04,0,0.00,0.00
1587168000,05-14,1,0.54,0.14
1587168000,15-34,2,0.52,0.29
1587168000,35-59,7,0.97,1.00
1587168000,60-79,29,5.18,4.14
1587168000,80+,25,13.95,3.57
1587254400,00+,68,3.21,9.71
1587254400,00-04,0,0.00,0.00
1587254400,05-14,1,0.54,0.14
1587254400,15-34,2,0.52,0.29
1587254400,35-59,8,1.11,1.14
1587254400,60-79,27,4.83,3.86
1587254400,80+,30,16.74,4.29
1587340800,00+,63,2.97,9.00
1587340800,00-04,0,0.00,0.00
1587340800,05-14,1,0.54,0.14
1587340800,15-34,2,0.52,0.29
1587340800,35-59,7,0.97,1.00
1587340800,60-79,25,4.47,3.57
1587340800,80+,28,15.63,4.00
1587427200,00+,73,3.44,10.43
1587427200,00-04,0,0.00,0.00
1587427200,05-14,1,0.54,0.14
1587427200,15-34,4,1.03,0.57
1587427200,35-59,6,0.83,0.86
1587427200,60-79,32,5.72,4.57
1587427200,80+,30,16.74,4.29
1587513600,00+,78,3.68,11.14
1587513600,00-04,0,0.00,0.00
1587513600,05-14,2,1.09,0.29
1587513600,15-34,4,1.03,0.57
1587513600,35-59,8,1.11,1.14
1587513600,60-79,32,5.72,4.57
1587513600,80+,32,17.86,4.57
1587600000,00+,84,3.96,12.00
1587600000,00-04,0,0.00,0.00
1587600000,05-14,2,1.09,0.29
1587600000,15-34,4,1.03,0.57
1587600000,35-59,9,1.25,1.29
1587600000,60-79,33,5.90,4.71
1587600000,80+,36,20.09,5.14
1587686400,00+,83,3.91,11.86
1587686400,00-04,1,1.14,0.14
1587686400,05-14,2,1.09,0.29
1587686400,15-34,3,0.77,0.43
1587686400,35-59,9,1.25,1.29
