Timestamp,Altersgruppe,7T_Hospitalisierung_Inzidenz,7T_Inzidenz
1590624000,05-14,0.00,1.96
1590624000,15-34,0.00,4.71
1590624000,35-59,0.14,8.42
1590624000,60-79,2.32,6.11
1590624000,80+,7.26,12.64
1590710400,00-04,0.00,0.63
1590710400,05-14,0.00,2.28
1590710400,15-34,0.00,4.82
1590710400,35-59,0.28,8.22
1590710400,60-79,2.15,6.34
1590710400,80+,9.49,14.33
1590796800,00-04,0.00,0.63
1590796800,05-14,0.00,2.75
1590796800,15-34,0.00,4.96
1590796800,35-59,0.28,7.75
1590796800,60-79,2.32,6.62
1590796800,80+,8.37,16.27
1590883200,00-04,0.00,0.63
1590883200,05-14,0.00,2.91
1590883200,15-34,0.00,4.89
1590883200,35-59,0.28,7.21
1590883200,60-79,2.32,6.75
1590883200,80+,7.81,17.95
1590969600,00-04,0.00,0.79
1590969600,05-14,0.00,2.99
1590969600,15-34,0.00,4.46
1590969600,35-59,0.28,6.66
1590969600,60-79,2.15,6.47
1590969600,80+,8.93,18.96
1591056000,00-04,0.00,0.95
1591056000,05-14,0.00,2.91
1591056000,15-34,0.00,4.03
1591056000,35-59,0.28,6.16
1591056000,60-79,1.97,6.06
1591056000,80+,8.37,19.81
1591142400,00-04,0.00,1.11
1591142400,05-14,0.00,2.83
1591142400,15-34,0.00,3.63
1591142400,35-59,0.28,5.59
1591142400,60-79,1.25,5.53
1591142400,80+,7.26,18.21
1591228800,00-04,0.00,1.11
1591228800,05-14,0.00,2.91
1591228800,15-34,0.00,3.38
1591228800,35-59,0.55,5.16
1591228800,60-79,1.43,4.81
1591228800,80+,6.14,16.86
1591315200,00-04,0.00,1.11
1591315200,05-14,0.00,2.83
1591315200,15-34,0.26,3.13
1591315200,35-59,0.42,4.75
1591315200,60-79,1.43,4.18
1591315200,80+,3.91,14.83
1591401600,00-04,0.00,1.11
1591401600,05-14,0.00,2.75
1591401600,15-34,0.26,2.84
1591401600,35-59,0.55,4.58
1591401600,60-79,1.07,3.49
1591401600,80+,3.35,12.31
1591488000,00-04,0.00,1.11
1591488000,05-14,0.00,2.83
1591488000,15-34,0.26,2.70
1591488000,35-59,0.55,4.50
1591488000,60-79,0.89,2.96
1591488000,80+,2.23,10.03
1591574400,00-04,0.00,1.11
1591574400,05-14,0.00,3.06
1591574400,15-34,0.26,2.91
1591574400,35-59,0.55,4.64
1591574400,60-79,1.07,2.75
1591574400,80+,1.12,8.09
1591660800,00-04,0.00,1.11
1591660800,05-14,0.00,3.38
1591660800,15-34,0.26,2.95
1591660800,35-59,0.42,4.64
1591660800,60-79,1.07,2.73
1591660800,80+,1.67,7.00
1591747200,00-04,0.00,1.27
1591747200,05-14,0.00,3.54
1591747200,15-34,0.26,2.99
1591747200,35-59,0.42,4.67
1591747200,60-79,1.43,2.80
1591747200,80+,1.12,7.42
1591833600,00-04,0.00,1.42
1591833600,05-14,0.00,3.14
1591833600,15-34,0.26,2.84
1591833600,35-59,0.14,4.62
1591833600,60-79,1.79,2.98
1591833600,80+,1.67,7.50
1591920000,00-04,0.00,1.58
1591920000,05-14,0.00,2.83
1591920000,15-34,0.00,2.81
1591920000,35-59,0.14,4.60
1591920000,60-79,1.43,3.11
1591920000,80+,2.23,8.26
1592006400,00-04,0.00,1.74
1592006400,05-14,0.00,2.51
1592006400,15-34,0.00,2.73
1592006400,35-59,0.00,4.48
1592006400,60-79,1.25,3.21
1592006400,80+,1.67,9.61
1592092800,00-04,0.00,1.90
1592092800,05-14,0.00,2.20
1592092800,15-34,0.00,2.63
1592092800,35-59,0.00,4.30
1592092800,60-79,1.43,3.26
1592092800,80+,2.79,10.79
1592179200,00-04,0.00,2.05
1592179200,05-14,0.00,1.89
1592179200,15-34,0.00,2.37
1592179200,35-59,0.14,4.09
1592179200,60-79,1.25,3.29
1592179200,80+,5.02,12.14
1592265600,00-04,0.00,2.21
1592265600,05-14,0.00,1.57
1592265600,15-34,0.00,2.23
1592265600,35-59,0.14,3.90
1592265600,60-79,1.25,3.13
1592265600,80+,4.47,12.22
1592352000,00-04,0.00,2.05
1592352000,05-14,0.00,1.26
1592352000,15-34,0.00,2.09
1592352000,35-59,0.14,3.64
1592352000,60-79,1.25,2.90
1592352000,80+,5.58,11.55
1592438400,00-04,0.00,1.74
1592438400,05-14,0.00,1.26
1592438400,15-34,0.00,2.05
1592438400,35-59,0.14,3.41
1592438400,60-79,0.54,2.67
1592438400,80+,5.02,11.13
1592524800,00-04,0.00,1.90
1592524800,05-14,0.00,1.26
1592524800,15-34,0.00,1.87
1592524800,35-59,0.14,3.12
1592524800,60-79,0.54,2.47
1592524800,80+,4.47,10.28
1592611200,00-04,0.00,-1.00
1592611200,05-14,0.00,-1.00
1592611200,15-34,0.00,-1.00
1592611200,35-59,0.14,-1.00
1592611200,60-79,0.54,-1.00
1592611200,80+,4.47,-1.00
1592697600,00-04,0.00,2.05
1592697600,05-14,0.00,1.26
1592697600,15-34,0.00,1.80
1592697600,35-59,0.14,2.86
1592697600,60-79,0.54,2.32
1592697600,80+,4.47,8.93
1592784000,00-04,0.00,2.21
1592784000,05-14,0.00,1.26
1592784000,15-34,0.00,1.69
1592784000,35-59,0.00,2.65
1592784000,60-79,0.54,2.19
1592784000,80+,2.23,7.75
1592870400,00-04,0.00,2.53
1592870400,05-14,0.00,1.02
1592870400,15-34,0.00,1.58
1592870400,35-59,0.14,2.30
1592870400,60-79,0.54,1.96
1592870400,80+,3.35,6.41
1592956800,00-04,0.00,2.85
1592956800,05-14,0.00,0.79
1592956800,15-34,0.00,1.51
1592956800,35-59,0.14,2.06
1592956800,60-79,0.18,1.76
1592956800,80+,2.79,5.56
1593043200,00-04,0.00,3.32
1593043200,05-14,0.00,0.63
1593043200,15-34,0.00,1.37
1593043200,35-59,0.14,1.89
1593043200,60-79,0.18,1.66
1593043200,80+,2.79,5.31
1593129600,00-04,0.00,-1.00
1593129600,05-14,0.00,-1.00
1593129600,15-34,0.00,-1.00
1593129600,35-59,0.28,-1.00
